post_id,query,collection_type,text,likes,reposts,replies,timestamp_utc,author_username,scraped_at_utc
2077750014793965781,Pemprov Jabar SPP SMA SMK negeri,targeted,"🚨 𝗞𝗗𝗠 𝗧𝗔𝗡𝗚𝗚𝗔𝗣𝗜 𝗨𝗦𝗨𝗟𝗔𝗡 𝗗𝗣𝗥𝗗 𝗝𝗔𝗕𝗔𝗥 𝗨𝗡𝗧𝗨𝗞 𝗠𝗘𝗡𝗚𝗛𝗜𝗗𝗨𝗣𝗞𝗔𝗡 𝗞𝗘𝗠𝗕𝗔𝗟𝗜 𝗦𝗣𝗣 𝗦𝗠𝗔-𝗦𝗠𝗞 𝗡𝗘𝗚𝗘𝗥𝗜

Komisi V DPRD Jabar mengusulkan reaktivasi Sumbangan Pembinaan Pendidikan (SPP) karena dana BOS hanya menutup 40% kebutuhan https://t.co/ZznDvI8oXS",19,7,25,Thu Jul 16 13:39:40 +0000 2026,txtdrkrw,2026-08-04T20:45:03.901086+00:00
2077591263784980666,Pemprov Jabar SPP SMA SMK negeri,targeted,"Makan Gratis, Sekolah Wajib Bayar

Pemprov Jabar dan DPRD mulai membahas pengaktifan kembali SPP bagi siswa SMA/SMK negeri dari keluarga desil 6–10. Alasannya, pemerintah baru mampu membiayai sekitar Rp1,6 juta dari kebutuhan ideal Rp4,5 juta per siswa per tahun.

Wacana ini https://t.co/uOjA9AUevb",107,57,48,Thu Jul 16 03:08:51 +0000 2026,zalkad,2026-08-04T20:45:03.901086+00:00
2077314402181947818,Pemprov Jabar SPP SMA SMK negeri,targeted,"Pemprov Jawa Barat bersama DPRD Jabar tengah membahas wacana mengaktifkan kembali SPP di SMA/SMK negeri bagi siswa dari keluarga desil 6-10 dalam pembahasan Ranperda Penyelenggaraan Pendidikan.

#IDNTimesJabar 

https://t.co/666VLbWdyh https://t.co/SIUlLFdnpw",2,1,0,Wed Jul 15 08:48:42 +0000 2026,IDNTimesJabar,2026-08-04T20:45:03.901086+00:00
2039705313386053638,Pemprov Jabar SPP SMA SMK negeri,targeted,"@Bolavolimikasa_ @tanyarlfes Kakak dari provinsi mana ya? Lulus SMA tahun berapa? Karena setau saya tiap daerah punya kebijakan nya masing-masing. Di Jabar SMA/SMK Negeri baru gratis sejak 2020, karena iuran bulanan nya/SPP ditanggung oleh pihak Pemprov.",16,0,4,Thu Apr 02 14:03:37 +0000 2026,Bagaswdnt,2026-08-04T20:45:03.901086+00:00
1269609198922260485,Pemprov Jabar SPP SMA SMK negeri,targeted,"Ini baru keren...mantab gubernur kita ini
Calon preiden 2024 @ridwankamil
Kami warga JABAR 50 jt mendukung bp mjadi presiden

https://t.co/nSDvDT39aq

Pemprov Jabar akan menggratiskan iuran Sumbangan Pembinaan Pendidikan (SPP) untuk SMA dan SMK negeri pada tahun ajaran 2020/2021.",2,0,2,Sun Jun 07 12:36:35 +0000 2020,SeptianoIbrahim,2026-08-04T20:45:03.901086+00:00
1141298084950921216,Pemprov Jabar SPP SMA SMK negeri,targeted,Pemprov Jabar wacanakan gratis SPP SMA dan SMK Negeri https://t.co/bmRptG6sML,0,0,0,Wed Jun 19 10:54:02 +0000 2019,antaranews,2026-08-04T20:45:03.901086+00:00
1140584868625047554,Pemprov Jabar SPP SMA SMK negeri,targeted,"Tidak hanya Pemprov Jatim, Jabar juga akan menggratiskan SPP SMA/SMK negeri. https://t.co/Nl52UxH2zO",2,1,0,Mon Jun 17 11:39:58 +0000 2019,Bisniscom,2026-08-04T20:45:03.901086+00:00
2084161544083148961,razia pajak jalan tol,targeted,"[SALAH] Ada Operasi Razia Pajak di Jalan Tol

Beredar foto [arsip] dari akun X “Opposite6888” pada  Kamis (23/7/2026)  memperlihatkan razia kepatuhan pajak kendaraan di jalan tol arah Padalarang. Unggahan disertai narasi:
“Negara lagi SEKARAT !!
Tol arah Padalarang ada razia https://t.co/DhnVTt4p52",1,0,0,Mon Aug 03 06:16:48 +0000 2026,humaspoldajbr,2026-08-04T20:45:37.823216+00:00
2083044012018274569,razia pajak jalan tol,targeted,"❌ Ada Operasi Razia Pajak di Jalan Tol 

✅ Konten palsu (fabricated content). Faktanya, foto yang beredar merupakan rekayasa dibuat menggunakan OpenAI, sementara pihak Ditlantas Polda Jabar telah memastikan tidak ada operasi pemeriksaan pajak di jalan tol.

🔗 Selengkapnya di https://t.co/CB6XKRwBfc",0,0,1,Fri Jul 31 04:16:08 +0000 2026,TurnBackHoax,2026-08-04T20:45:37.823216+00:00
2080950467358867533,razia pajak jalan tol,targeted,"::
Samsat Jabar.
Menggelar razia kendaraan di jalan tol yg konon katanya bebas hambatan.

#Pajak
#Upeti
#PenghisapDarahRakyat

•• https://t.co/tn0YIChNW6",11,3,7,Sat Jul 25 09:37:08 +0000 2026,TimTunn26,2026-08-04T20:45:37.823216+00:00
